id	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
1000		2	2		2	2	2	2		2	2	2	2	2	2
1001							2	2			2	2		2	
1003					2		2	2			2	2			2
1005								2				2			
1007							2	2						2	
1009				2										2	
1011							2	2				2			
1013				2			2	2				2		2	
1015							2							2	
1017						2		2						2	
1019			2	2	2		2							2	
1021							2	2				2			
1023							2	2				2		2	
1025							2	2				2		2	
1027						2		2						2	
1029						2	2	2							
1031							2	2		2		2			
1033		2				2	2	2						2	
1035							2	2				2			
1037							2							2	
1039							2	2				2		2	2
1041							2	2				2			
1043		2			2		2	2				2		2	
1045			2	2			2	2				2			
1047							2	2				2		2	2
1049			2			2	2					2	2	2	
1051							2	2				2		2	
1053							2	2				2			
1055			2	2										2	
1057		2		2	2									2	
1059		2					2							2	
1061			2				2	2				2			2
1063							2	2						2	
1065							2	2						2	
1067			2		2			2		2		2			
1069			2				2	2				2			
1071			2			2	2					2		2	
1073				2		2	2	2				2		2	
1075		2		2			2	2				2		2	
1077		2				2		2						2	
1079		2					2							2	
1081							2	2							
1083		2	2			2								2	
1085							2	2							
1087			2					2							
1089		2				2								2	
1091							2	2				2		2	
1093		2					2	2						2	
1095						2	2					2	2	2	
1097					2		2	2			2	2			2
1099							2	2						2	
1101							2	2			2	2			
1103		2												2	
1105							2	2				2		2	2
1107							2	2						2	2
1109							2	2				2			
1111						2		2							
1113						2		2				2			
1115				2		2								2	
1117							2	2						2	
1119							2	2						2	
1121						2	2	2						2	
1123							2	2						2	
1125			2	2			2	2						2	
1127				2	2	2							2	2	
1129							2	2				2		2	
1131							2	2		2		2			
1133		2		2	2		2	2						2	
2000			2		2	2	2	2	2		2	3		2	2
2013			2												
2016							2								
2020			2			2									
2050			2		3		2	2	3			3		2	
2060			2												
2068											2				
2070			2		3									2	
2090			2		3						2	3			
2122			2		2	2			2						2
2150			2		2							2			
2164			2		2										
2170			2			2			2						
2180							2	2						2	
2185								2			2				
2188							2	2							
2240			2		1							3			
2261			2		1				2						
2270					3		2	2	3			3		2	
2290					1				3		2	3			
4000			2		0	0		2	2				2		
4001					0								2		
4003			2												
4005								2					2		
4007								2	2				2		
4009								2	2						
4011								2	2				2		
4012			2										2		
4013			2					2							
4015								2					2		
4017					0			2					2		
4019						0		2	2						
4021			2					2	2						
4023			2												
4025								2					2		
5000		2	4	2	2	4	2	2	2		2	2	2	2	
5001			4								2	2		2	
5003					2			2			2	1			
5005			4			4	2				2	2		2	
5007			4				2	2			2	2		2	
5009			4				2				2	2		2	
5011		2	4	2			2				2	2	2	2	
5013			4				2	2			2	2	2	2	
5015							2				2	2		2	
5017		2				2					2	2		2	
5019			4	2			2	2			2	2	2		
5021		2			2	4					2	2	2	2	
5023			4		2	2		2			2	2		2	
5025			4	2				2			2	2	2	2	
5027		2	4	2	2		2					2			
5029			4	2		2		2			2	2		2	
5031				2	2	4		2			2	2	2	2	
5033			4					2			2	2		2	
5035			4		2			2			2			2	
5037			4			2			2		2	2		2	
5039			4	2							2	2	2	2	
5041			4								2				
5043		2	4	2							2	2	2		
5045			4					2						2	
5047			4	2	2		2	2			2	2		2	
5049			4			4		2			2	2		2	
5051			4					2			2			2	
5053			4								2	2	2		
5055		2			2	4			2		2	2	2	2	
5057			4	2			2	2			2	2	2		
5059			4	2				2			2	2		2	
5061			4				2				2	1		2	
5063		2			2	4	2	2			2	2		2	
5065			4			4					2	2		2	
5067		2	4		2	4	2	2			2	2	2	2	
5069			4									2	2		
5071			4				2				2	2		2	
5073			4	2			2	2			2	2	2		
5075						4					2	2		2	
5077			4					2			2	2		2	
5079			4	2	2			2			2	2	2	2	
5081			4	2	2		2	2			2	2			
5083			4		2			2			2	2			
5085			4								2		2	2	
5087			4			2	2				2	2		2	
5089			4				2				2	2		2	
5091		2	4	2				2			2	2	2		
5093			4					2			2	2		2	
5095		2	4		2						2	2	2	2	
5097			4								2			2	
5099			4	2			2				2	2	2	2	
5101			4	2		4	2				2	2		2	
5103			4	2			2	2				2	2		
5105			4			2					2	2		2	
5107								2			2	2		2	
5109			4				2				2	2		2	
5111			4		2	2						2	2	2	
5113			4	2				2				1		2	
5115			4					2			2	2			
5117			4	2	2			2			2	2	2	2	
5119		2	4					2			2	2	2	2	
5121		2				4			2		2	2		2	
5123		2	4			2		2			2	2		2	
5125		2	4					2			2	2		2	
5127			4		2			2			2	2			
5129			4			4	2	2			2	2		2	
5131			4					2			2				
5133			4				2	2				1			
5135			4			4		2			2	2		2	
5137			4		2	4	2	2			2	2		2	
5139			4	2				2			2	2			
5141			4			2		2			2	2		2	
5143			4				2	2			2	2		2	
5145		2	4	2	2	2					2	2	2	2	
5147			4		2	2	2				2	2	2	2	
5149			4								2			2	
6000		0				0	1	2	2	0	0		2	3	
6001								2	2						
6003									2						
6005									2						
6007		0							2		0				
6009									2				2		
6011									2						
6013									2						
6015									2					2	
6017									2						
6023		0							2						
6025													1		
6027														3	
6029								2			0			3	
6031														3	
6033									2						
6035									2						
6037		0				0		2		0	0		2		
6039									2					3	
6041									2						
6043											0			3	
6045									2		0				
6047									2						
6053											0			2	
6055									2						
6057									2						
6059						0		2		0	0			3	
6061									2						
6063		0							2		0				
6065						0		2		0	0		2	3	
6067								2	2						
6071		0				0		2		0			2	3	
6073		0				0		2		0				3	
6077							3	2	2						
6079							1		2					3	
6081									2						
6083							1	2			0			3	
6085		0						2	2		0				
6087									2		0			2	
6089		0									0				
6091									2						
6093									2				2		
6095									2						
6097									2						
6099									2						
6101									2						
6103		0													
6105		0							2		0				
6107														3	
6109									2						
6111						0		2		0					
6113									2						
6115		0							2						
8000		2		2		4		2		4					0
8001						4				4					
8005						4				4					
8009										4					
8011		2								4					
8013						4				4					
8014						4				4					
8015						4									
8017										4					
8019						4									
8023						4									
8025		2								4					
8027		2				4				4					
8031						4				4					
8035						4				4					
8039		2				4				4					
8041		2				4				4					0
8043		2				4									
8047						4				4					
8049						4									
8055						4				4					
8057						4									
8059						4				4					
8061		2								4					
8069		2				4				4					0
8071		2				4				4					
8089		2								4					
8093						4									
8099				2						4					
8101		2				4				4					
8115				2											
8117						4									
8119						4				4					0
8121										4					
8123		2				4									
9000		2				4	4	4	4	2			2	2	
9001		2				4	4	4	4	2			2	2	
9003		2				4	4	4	4					2	
9005		2				4	4	4		2				4	
9007						4		4					2	2	
9009						4	4	4	4					4	
9011						4	4	4					2	2	
9013						4	4	4	4					4	
9015						4	4	4	4					2	
10000		2				2	2	2	2				4	2	
10001						4							4	2	
10003		2				4	2						4	2	
10005						2			2				4	2	
11001			2	2		2		2				5	2	2	2
12000		2	2	2		2	2	2		2	2	2			2
12001							2				2				
12003							2				2	2			2
12005			2	2			2	2			2	2			
12007							2				2				2
12009		2					2	2			2				
12011		2	2				2	2			2				
12013			2	2			2	2			2	2			
12015		2		2		2	2	2			2				2
12017						2	2				2				2
12019							2				2	2			2
12021		2		2			2	2			2				2
12023							2				2				2
12025		2	2				2	2			2				
12027		2		2		2	2	2			2				
12029						2	2	2			2	2			2
12031		2					2				2				2
12033			2				2	2			2	2			
12035		2		2			2				2	2			
12037			2				2	2			2	2			2
12039				2			2	2			2	2			
12041							2					2			
12043		2					2	2			2				
12045			2				2	2			2	2			2
12047							2				2	2			2
12049		2		2		2	2	2			2				
12051		2					2	2			2				
12053						2	2				2				2
12055		2		2			2	2			2				
12057		2					2				2				
12059				2			2	2			2	2			
12061		2					2	2			2				
12063							2	2				2			
12065			2	2			2	2			2	2			2
12067							2					2			2
12069							2			2	2				
12071		2		2			2	2			2				2
12073			2	2			2	2			2	2			
12075						2	2	2							2
12077				2			2	2			2	2			2
12079							2					2			2
12081		2		2		2	2				2				2
12083							2				2				
12085		2					2	2			2				
12087		2					2	2			2				
12089		2					2				2				2
12091			2				2	2			2	2			
12093		2					2	2			2				
12095		2					2				2				
12097		0					2	2			2				
12099		2					2	2			2				
12101						2	2				2				2
12103		2					2				2				2
12105		2					2	2			2				
12107				2			2				2	2			2
12109		2		2			2				2				
12111		2					2	2			2				
12113							2	2			2	2			2
12115		2		2		2	2	2			2				2
12117		2					2				2				
12119							2			2	2				
12121							2				2	2			2
12123						2	2	2			2				2
12125							2				2				2
12127		2					2			2	2	2			
12129			2	2			2	2			2	2			2
12131							2	2			2	2			
12133				2			2	2			2	2			
13000		2	2				2	2		2	2	2		2	
13001							2					2			
13003							2					2			
13005							2					2			
13007							2			2		2			
13011			2				2								
13013			2												
13015			2											2	
13017							2					2			
13019							2					2			
13021							2	2			2				
13023							2								
13025							2					2			
13027							2					2			
13029		2													
13033											2				
13035			2				2								
13037							2					2			
13039		2					2								
13043							2								
13045			2				2	2			2	2			
13047			2									2		2	
13049							2								
13051		2						2							
13055			2									2			
13057			2				2	2				2		2	
13059			2												
13061							2			2					
13063								2							
13065							2					2			
13067			2				2	2				2			
13069							2					2			
13071			2				2	2				2			
13075							2					2			
13077								2						2	
13079							2			2	2	2			
13081							2					2			
13083							2							2	
13085			2				2					2			
13087							2					2			
13089			2				2	2				2			
13091							2					2			
13093		2					2					2			
13095							2	2				2			
13097			2								2	2			
13099							2					2			
13101							2					2			
13105			2				2								
13107											2				
13109							2								
13111			2				2								
13113								2							
13115			2					2						2	
13117			2				2	2							
13119			2				2								
13121			2				2	2			2	2			
13123			2				2								
13127		2					2				2				
13129			2											2	
13131			2				2					2			
13133			2				2							2	
13135			2					2				2			
13137			2				2								
13139			2					2							
13141							2			2					
13143			2					2							
13145							2							2	
13147			2				2					2			
13149							2					2		2	
13151			2					2							
13153							2					2			
13155							2					2			
13157			2												
13159			2				2							2	
13161							2					2			
13163											2				
13165											2				
13167							2				2				
13169			2				2								
13171			2				2							2	
